COUNTRY,ERHNI,CODE
Afghanistan,-1.486451093,AFG
Albania,1.83637687,ALB
Algeria,1.347624184,DZA
Angola,-4.325435007,AGO
Argentina,10.3710525,ARG
Armenia,-5.008648517,ARM
Australia,18.26197562,AUS
Austria,18.71114259,AUT
Azerbaijan,-6.0483675,AZE
Bahrain,-4.127481743,BHR
Bangladesh,-0.279820173,BGD
Belarus,3.296109431,BLR
Belgium,14.6477062,BEL
Belize,10.59015924,BLZ
Benin,-8.068199737,BEN
Bolivia,4.634987349,BOL
Bosnia and Herzegovina,-2.744805574,BIH
Botswana,-7.394517374,BWA
Brazil,12.91742887,BRA
Bulgaria,-6.243750872,BGR
Burkina Faso,-5.394538295,BFA
Burundi,-6.481327928,BDI
Cambodia,-6.633764069,KHM
Cameroon,-3.322184304,CMR
Canada,20.70964146,CAN
Central African Republic,-7.089167734,CAF
Chad,-6.376292719,TCD
Chile,12.73087534,CHL
China,-2.944784798,CHN
Colombia,10.00950019,COL
Comoros,-6.54132031,COM
Congo,-7.318912132,COM
"Congo, Dem. Rep. of the",-5.35687201,COD
Costa Rica,17.9696205,CRI
Cote d'Ivoire,-4.267302669,CRI
Croatia,4.254021433,HRV
Cuba,3.095843638,CUB
Cyprus,10.88635251,CYP
Czech Republic,8.672941844,CIV
Denmark,21.78901931,DNK
Djibouti,0.00289081,DJI
Dominican Republic,-2.11862647,DOM
Ecuador,6.113947709,ECU
Egypt,-8.137607915,EGY
El Salvador,12.4154921,SLV
Estonia,0.562919923,EST
Ethiopia,-4.155921526,ETH
Finland,18.83532747,FIN
France,14.3858911,FRA
Georgia,-6.937390413,GEO
Germany,13.74553163,DEU
Ghana,-2.62695078,GHA
Greece,6.555060256,GRC
Guatemala,9.11898941,GTM
Guinea,-5.349053876,GIN
Guyana,6.423965285,GUY
Haiti,-7.856771736,HTI
Honduras,6.167247526,HND
Hong Kong,5.246804286,HKG
Hungary,-2.268459668,HUN
Iceland,15.31679793,ISL
India,-0.208240667,IND
Indonesia,2.986599467,IDN
Iran,-2.12476525,IRN
Iraq,-0.082142569,IRQ
Ireland,17.42609098,IRL
Israel,19.15053687,ISR
Italy,10.95935249,ITA
Jamaica,8.719373075,JAM
Japan,8.68650316,JPN
Jordan,5.043046747,JOR
Kazakhstan,2.488060598,KAZ
Kenya,-4.718124701,KEN
Korea,8.879785103,KIR
Kuwait,10.72103884,KWT
Kyrgyzstan,-0.217310106,KGZ
Laos,0.288251718,LAO
Latvia,-2.876214442,LVA
Lebanon,1.377706164,LBN
Liberia,-4.852862426,LBR
Libya,-1.382186399,LBY
Lithuania,0.009189357,LTU
Luxembourg,16.42339202,LUX
Macedonia,-6.33057771,MKD
Madagascar,-2.318979543,MDG
Malawi,0.806711012,MWI
Malaysia,4.02440491,MYS
Mali,-6.763308465,MLI
Malta,6.093171904,MLT
Mauritania,-0.194673652,MRT
Mauritius,3.338329926,MUS
Mexico,13.64042235,MEX
Moldova,3.793871199,MDA
Mongolia,-3.39717592,MNG
Morocco,-4.45708674,MAR
Mozambique,-1.830279293,MOZ
Myanmar,1.686638419,MMR
Namibia,-1.3373327,NAM
Nepal,-8.322315918,NPL
Netherlands,19.95428746,NLD
New Zealand,16.31325709,NZL
Nicaragua,4.822839041,NIC
Niger,-5.215997741,NER
Nigeria,-1.390771515,NGA
Norway,20.52035406,NOR
Pakistan,1.542953958,PAK
Palestine,-1.163237532,PSE
Panama,17.72257737,PAN
Paraguay,5.419755132,PRY
Peru,4.393272129,PER
Philippines,-0.556717165,PHL
Poland,5.5199278,POL
Portugal,-1.350107678,PRT
Qatar,7.265890358,QAT
Romania,-1.031348689,ROU
Russia,2.26986387,RUS
Rwanda,-6.163764417,RWA
Saudi Arabia,12.45624211,SAU
Senegal,-7.563827052,SEN
Serbia,-4.296893295,SRB
Sierra Leone,-3.934633318,SLE
Singapore,12.43083583,SGP
Slovakia,7.797683827,SVK
Slovenia,8.285663401,SVN
South Africa,-2.293872715,ZAF
Spain,9.573460223,ESP
Sri Lanka,-6.222661418,LKA
Sudan,-4.576802332,SDN
Sweden,20.07824257,SWE
Switzerland,20.7032998,CHE
Syria,-7.133619288,STP
Tajikistan,-4.332435741,TJK
Tanzania,-10.93145694,TZA
Thailand,8.602510247,THA
Togo,-12.52507046,TGO
Trinidad and Tobago,8.951848109,TTO
Tunisia,-2.513754848,TUN
Turkey,3.38341896,TUR
Turkmenistan,8.859552808,TKM
Uganda,-4.73979983,VIR
Ukraine,-0.000426967,GBR
United Arab Emirates,16.1519576,GBR
United Kingdom,16.15203879,GBR
United States of America,16.5647714,GBR
Uruguay,6.63634699,GBR
Uzbekistan,0.224075107,UZB
Venezuela,17.94447086,VEN
Vietnam,5.462647983,VNM
Yemen,-6.868098316,YEM
Zambia,1.353759475,ZMB
Zimbabwe,-1.063739543,ZWE
